text;time
english translation: 'a message to the truthful in syria - sheikh abu muhammed al maqdisi: http://t.co/73xfszsjvr http://t.co/x8bzcscxzq; 1/6/2015
english translation: sheikh fatih al jawlani 'for the people of integrity, sacrifice is  easy' http://t.co/uqqzxggvtz http://t.co/a7nbjwyhbr; 1/6/2015
english translation: first audio meeting with sheikh fatih al jawlani (ha): http://t.co/tgxt1gdgw7 http://t.co/zue8eisze6; 1/6/2015
english translation: sheikh nasir al wuhayshi (ha), leader of aqap: 'the promise of victory': http://t.co/3qg5dkliwr http://t.co/7bqk1wjazc; 1/6/2015
english translation: aqap: 'response to sheikh baghdadis statement 'although the disbelievers dislike it.' http://t.co/2eym9eymte; 1/6/2015
the second clip in a da'wah series by a soldier of jn: video link :http://t.co/epaprlph5w http://t.co/4vuyszairt; 1/6/2015
english transcript : oh murabit! : http://t.co/hujlj9kgkg http://t.co/t9ixmtbvgk; 1/6/2015
english translation: 'a collection of the words of the u'lama regarding dawlah': http://t.co/ajbaywnxdq http://t.co/maycbhauzh; 1/6/2015
aslm please share our new account after the previous one was suspended.@khalidmaghrebi @seifulmaslul123 @cheerleadunited; 1/6/2015
english translation: aqap statement regarding the blessed raid in france:http://t.co/qverfo25qj http://t.co/yicngmvjix; 1/10/2015
@khalidmaghrebi @seifulmaslul123 @cheerleadunited @ibnnabih1; 1/10/2015
new link, after previous one taken down:aqap-'the faces have been brightened' -regarding the blessed attack in france http://t.co/ralsnpd547; 1/12/2015
english translation- sheikh abu hasan al kuwaiti (ha) advice of nabi s.a.w to the mujahideen: https://t.co/qckbdecdty http://t.co/sudbvtqttg; 1/22/2015
sheikh abu hassan al kuwaiti (ha): advice of nabi saw to the mujahideen:  http://t.co/bj24unfnit http://t.co/99nsw0nzxa; 1/22/2015
@ibnnabih1 @muwmedia @dawlat_islam7 not translating it either.; 2/9/2015
aslm, anybody translating the new jn video? will translate it if  nobody else is @ibnnabih1 @khalidmaghrebi_ @muwmedia @polder_mujahid; 2/12/2015
@ibnnabih1 @khalidmaghrebi_ @muwmedia @polder_mujahid so we will translate it then inshallah let us knw if anybody is available for the subs; 2/12/2015
@ibnnabih1 @abuw_ukasyah @polder_mujaahid @abuizzadeen2 @muwmedia  half way through, a few more days inshallah, been very busy.; 2/16/2015
@abdirahmanbash2 @khalidmaghrebi_ @ibnnabih1 @polder_mujahid  aslm, we have completed the translation with the exception of a few news; 2/20/2015
@abdirahmanbash2 @khalidmaghrebi_ @ibnnabih1 @polder_mujahid reports and words of the syrian people, will have that completed by tomorrow; 2/20/2015
@abdirahmanbash2 @khalidmaghrebi_ @ibnnabih1 @polder_mujahid  inshallah. should we still finish it, or not?; 2/20/2015
new links for #jn video - eng subs: the path of salvation : watch: http://t.co/1hlwtp3xod http://t.co/jcvigudedv http://t.co/szoggmvpmi; 2/26/2015
download #jn video with english subtitles: the path of salvation #سبيل_النجاة https://t.co/hgzpyiasw0 http://t.co/50upxyftwo; 2/26/2015
video by @ansardeenfront with eng subtitles: 'save aleppo'  watch: http://t.co/rjufazpf0s  download: http://t.co/5q0ye0njkr @a8531; 2/28/2015
english translation: a pamphlet released by #jn regarding #is  group of ‘dawlah’ and the islamic ruling regarding it http://t.co/bykvoiin2z; 3/4/2015
aslm, anybody translating the new audio of sheikh jawlani? will do it if no one else is.@ibnnabih1 @emerat_aq_islam @_khalidmaghrebi; 4/1/2015
@abuhamzaneh @50w30 @jn_irhabiyya_97 @aba_m0hammed aslm, will do it inshallah; 5/13/2015
rt @giimedia_ch004: rules of imarah part2 - conditions of imamah https://t.co/ga9sus308a introductions and definitions  english translation…; 5/29/2015
english translation: dialogue with sheikh tartoosi part 2   http://t.co/aoaurots5y; 6/3/2015
‍‌‌‌‌‍‌‌‌🔻‌‌[ الإثنين  1436/9/19 هـ ]‍‌‌‌‌‍‍‍‍‌🔺‌ النّشرة صوتيّة | ‍‌‌‌‌‍‌‍‍‍‌🔊‌‌ و مكتوبة |  https://t.co/g4vz77levt #دولة_الخلافة; 7/7/2015
#breaking #confirmed islamic state takes control of al-jusiya border post linking jurud al-qaa in lebanon to qusayr in homs countryside; 8/17/2015
salamu alaykum. i'm back. do supports and spread my new account. barakallahu feekum http://t.co/wxpw7vgxdw; 8/26/2015
@yazeeddhardaa25 cc @ibn_nuhas @jazrawi_uod @striv3ride @afroqaqaisback; 8/26/2015
best generation ever, takbirrr #is #dawlah #cubs https://t.co/n9iwcfnmzt; 8/28/2015
@baqiya58 jazakallahu akhi; 8/29/2015
@umulbanat1 jazakallahu ukh; 8/29/2015
@aljabarti22 jazakallahu akh; 8/29/2015
@ummaysha20___ jazakallahu ukhti @abtigood @asadalkanadi10; 8/29/2015
@bintrose33 jazakallahu ukhti @abuhaleema28 @skxxx50 @abtigood @_muslimah1___ @jasonphedo @aljabali23 @abdullahkayaniw @checkcontentt; 8/29/2015
@skxx51 actually he has been changed drastically after is took a revenged and encircled them in dez @striv3ric @war_reports (1); 8/29/2015
@skxx51 he can't accept the mubahala between sh adnani &amp; abu abdullah shami where the truth is on is @striv3ric @war_reports (2); 8/29/2015
@skxx51 if all of you remember his tweets from his first acc he used to support is and made a clarification the @striv3ric @war_reports(3); 8/29/2015
@skxx51 truth behind jan13 where he's asserted that fsa the one who start the infighting and killing muhajireen @striv3ric @war_reports(4); 8/29/2015
@skxx51 those who doesn't know him will says that his tweets are true and he's on haqq.. @striv3ric; 8/29/2015
history repeated itself. jn almost vanished when #is came to #syria and massive bayah from #aleppo &amp; #raqqa https://t.co/qmmg1k8csa; 8/29/2015
report jn tells their fighters they won't participate in mari battle against islamic state under any circumstance https://t.co/pe6...; 8/30/2015
the sahawat declare these villages military zones but love to talk about civilian deaths and provide no videos http://t.co/xrsj0lcydh/s/q6jn; 8/30/2015
didnt i tell you that jn only make takfir on those who spill their holy blood? srf, hazm? https://t.co/qquyie0efm/s/hjqq; 8/30/2015
@abuyaqub6: rt @alwalawalbara12: may allah punish every shiite ! https://t.co/y1wwfrjdtp/s/aqau; 8/30/2015
*new* hijrah advice part 7: security measures  http://t.co/m6xjwrxtbe/s/mte2/s/btlt/s/m8s8 http://t.co/m6xjwrxtbe/s/mte2/s/...; 8/30/2015
anor/s/mte2/s/btlt/s/m8s8 http:.; 8/30/2015
